NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;Si;;;426.3489;153.8809;109;16393.2574;10026;1586;1.5047;36;1;17;78;31;78;31;6240;1004;83;176
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;--;;;0.0000;0.0000;309;0.0000;9552;40;1.7218;57;12;1;178;131;156;7;9430;37;1195;957
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;Si;;;434.8194;190.5864;135;16798.4301;10187;1712;1.9262;40;1;19;99;36;106;36;6306;1066;84;173
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;No;166.668;0.821321;202.9270;85.3172;6605;1848.0831;87264;55809;5.8960;618;122;91;2611;3994;2904;4031;68888;48735;66760;201879
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;No;178.298;0.841307;211.9302;91.0911;7052;1866.5029;87932;56567;6.2150;614;148;96;2741;4311;3042;4335;69310;49386;74674;192068
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;--;;;0.0000;0.0000;330;0.0000;9870;40;1.6750;68;16;1;187;143;156;8;9756;35;1246;890
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;Si;;;464.4662;214.5862;152;17405.4832;10518;1811;2.0493;41;1;22;111;41;117;41;6547;1163;92;175
CATALUNYA;GLOBAL;2021-08-19;2021-08-25;No;189.047;0.856273;220.7784;96.3742;7461;1892.8149;89441;57095;6.4942;627;132;100;2896;4565;3223;4593;70394;49959;80180;180068
CATALUNYA;GLOBAL;2021-08-19;2021-08-25;--;;;0.0000;0.0000;377;0.0000;9923;40;1.9010;66;16;2;212;165;179;8;9802;35;1247;800
CATALUNYA;GLOBAL;2021-08-19;2021-08-25;Si;;;470.1132;221.6449;157;18604.0601;11325;1853;2.0667;44;1;24;108;49;121;50;7066;1208;98;177
CATALUNYA;GLOBAL;2021-08-18;2021-08-24;--;;;0.0000;0.0000;414;0.0000;9816;45;2.1165;73;19;4;229;185;197;9;9693;40;1343;949
CATALUNYA;GLOBAL;2021-08-18;2021-08-24;Si;;;470.1132;228.7037;162;18702.8827;11404;1844;2.1318;47;0;30;110;52;121;54;6993;1216;94;162
CATALUNYA;GLOBAL;2021-08-18;2021-08-24;No;200.55;0.864812;231.9000;101.2310;7837;1884.7030;88145;57763;6.8300;659;137;91;3019;4818;3339;4849;69307;50575;82559;166866
CATALUNYA;GLOBAL;2021-08-17;2021-08-23;No;210.761;0.866928;243.1120;105.3644;8157;1895.8634;88236;58536;7.0956;671;138;110;3091;5066;3450;5113;69333;51348;89518;154046
CATALUNYA;GLOBAL;2021-08-17;2021-08-23;--;;;0.0000;0.0000;464;0.0000;9692;43;2.3181;72;18;5;247;217;214;9;9581;39;1399;918
CATALUNYA;GLOBAL;2021-08-17;2021-08-23;Si;;;496.9364;223.0567;158;19573.9334;11930;1935;1.9246;51;0;35;102;56;110;57;7420;1257;99;146
CATALUNYA;GLOBAL;2021-08-16;2021-08-22;--;;;0.0000;0.0000;477;0.0000;9617;50;2.3453;70;16;5;250;227;215;9;9507;44;1460;885
CATALUNYA;GLOBAL;2021-08-16;2021-08-22;Si;;;556.2300;262.5857;186;20463.3368;12489;2006;2.1994;52;0;37;129;57;143;58;7816;1323;109;149
